"","SEXO","EDAD_MADN","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"1",1,12,10,8,9,3,11,16,10,7,12,14
"2",1,13,107,47,41,34,47,35,34,18,17,19
"3",1,14,738,197,126,159,161,123,78,50,22,21
"4",1,15,2607,596,455,403,409,341,151,70,55,55
"5",1,16,6099,1464,1042,794,757,513,271,136,113,106
"6",1,17,10882,2408,1494,1114,1085,831,392,219,126,107
"7",1,18,15100,2974,1814,1429,1436,968,485,249,174,153
"8",1,19,17274,3333,2062,1724,1621,1083,516,280,202,145
"9",1,20,18434,3355,2309,1794,1714,1194,508,327,188,174
"10",1,21,18410,3625,2192,1784,1663,1197,555,292,216,142
"11",1,22,18872,3479,2229,1729,1640,1242,495,323,213,138
"12",1,23,18070,3330,2134,1608,1626,1205,576,268,174,160
"13",1,24,17412,3051,2039,1565,1524,1225,486,259,198,143
"14",1,25,16810,2749,1920,1440,1505,1013,471,263,173,153
"15",1,26,15530,2639,1715,1474,1322,1003,450,275,183,129
"16",1,27,14774,2304,1545,1232,1243,924,416,286,193,124
"17",1,28,13150,2234,1409,1125,1140,847,470,248,145,108
"18",1,29,12225,2037,1184,1076,1040,857,421,212,146,121
"19",1,30,11223,1684,1140,1031,968,836,383,229,145,135
"20",1,31,9394,1642,1098,947,894,725,337,203,127,91
"21",1,32,8591,1429,1041,816,840,630,318,225,123,81
"22",1,33,7431,1379,912,747,804,611,328,158,86,65
"23",1,34,6775,1223,726,712,689,625,250,123,81,62
"24",1,35,5760,1106,677,639,677,471,223,142,95,71
"25",1,36,5065,995,713,598,576,374,196,110,88,67
"26",1,37,4110,838,646,496,439,365,190,119,70,47
"27",1,38,3487,832,508,389,400,339,203,80,52,49
"28",1,39,3043,600,351,372,373,278,145,88,72,44
"29",1,40,2402,473,361,312,326,248,107,59,40,42
"30",1,41,1574,427,277,277,291,177,111,58,42,26
"31",1,42,1300,272,238,215,176,153,82,50,30,21
"32",1,43,872,257,176,139,136,115,62,25,11,18
"33",1,44,620,191,101,136,108,96,44,17,17,12
"34",1,45,379,92,101,84,85,59,33,24,10,15
"35",1,46,228,90,78,58,57,32,28,10,10,8
"36",1,47,149,61,44,40,27,29,15,18,9,5
"37",1,48,117,42,30,25,24,27,15,7,7,5
"38",1,49,68,32,16,10,35,24,14,8,5,3
"39",1,50,240,118,107,103,109,98,47,30,21,22
"40",1,99,1094,483,354,377,444,440,303,235,192,181
"41",2,12,16,9,8,9,13,14,9,9,8,18
"42",2,13,114,54,40,32,55,35,28,20,11,21
"43",2,14,730,178,143,149,148,129,63,41,21,23
"44",2,15,2506,603,452,413,401,288,115,86,61,63
"45",2,16,5848,1420,1001,822,754,557,267,132,104,70
"46",2,17,10488,2454,1465,1147,1134,804,345,197,113,130
"47",2,18,14554,2951,1873,1452,1415,1038,471,249,152,137
"48",2,19,16254,3269,1979,1548,1566,1175,526,284,209,162
"49",2,20,17710,3380,2227,1796,1653,1150,547,316,198,187
"50",2,21,17538,3538,2183,1691,1546,1192,545,278,215,168
"51",2,22,18397,3344,2231,1620,1647,1278,505,310,195,151
"52",2,23,17822,3164,2032,1659,1589,1167,533,286,191,140
"53",2,24,16986,3024,1984,1667,1483,1187,487,258,208,165
"54",2,25,16717,2862,1875,1508,1463,1134,439,250,168,170
"55",2,26,15108,2673,1702,1392,1243,957,487,242,181,129
"56",2,27,13994,2322,1614,1250,1177,852,430,236,162,106
"57",2,28,12945,2225,1433,1101,1072,878,400,211,169,128
"58",2,29,11809,1925,1238,1059,1053,827,398,225,152,104
"59",2,30,10830,1631,1175,985,1079,808,344,208,160,121
"60",2,31,9037,1633,1085,1010,940,709,393,206,149,82
"61",2,32,8365,1453,986,845,826,676,317,190,111,84
"62",2,33,7562,1351,909,757,801,620,331,146,80,76
"63",2,34,6671,1240,832,692,728,615,271,147,98,69
"64",2,35,5933,1086,757,547,707,487,205,133,86,74
"65",2,36,4871,987,685,586,546,395,200,129,84,66
"66",2,37,4049,882,599,460,402,402,167,102,81,63
"67",2,38,3570,795,492,364,408,310,186,93,65,51
"68",2,39,3035,645,418,382,339,325,153,83,69,29
"69",2,40,2302,493,325,305,287,228,116,60,48,36
"70",2,41,1574,400,290,278,202,176,98,62,35,30
"71",2,42,1308,316,223,194,176,161,72,54,24,18
"72",2,43,918,241,160,134,153,133,67,37,17,19
"73",2,44,608,191,107,119,105,96,41,17,21,15
"74",2,45,411,123,76,74,73,50,26,22,10,12
"75",2,46,229,68,59,46,49,48,18,16,7,8
"76",2,47,171,68,41,42,35,27,22,10,6,7
"77",2,48,121,46,33,25,19,20,11,9,7,6
"78",2,49,81,30,15,22,18,22,15,8,8,6
"79",2,50,264,138,113,104,122,88,50,27,33,20
"80",2,99,973,400,385,367,460,482,306,242,172,157
