"","SEXO","EDAD_MADN","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"1",1,11,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"2",1,12,13,6,3,7,7,15,17,4,11,12
"3",1,13,111,48,39,43,41,41,28,20,22,11
"4",1,14,714,255,163,202,172,88,43,34,32,24
"5",1,15,2711,653,558,593,441,218,85,74,53,44
"6",1,16,6610,1610,1352,1043,673,348,170,102,76,59
"7",1,17,10913,2647,1905,1416,1010,492,205,151,119,54
"8",1,18,15453,3189,2215,1657,1238,602,260,170,132,89
"9",1,19,17237,3545,2397,1884,1273,601,275,205,159,105
"10",1,20,19001,3708,2511,1977,1346,699,303,191,128,104
"11",1,21,18305,3661,2489,1928,1394,679,306,219,140,101
"12",1,22,18817,3667,2465,1832,1305,683,289,206,147,103
"13",1,23,18339,3465,2271,1743,1276,665,303,182,136,84
"14",1,24,17318,3017,2043,1642,1166,618,270,194,146,83
"15",1,25,16889,2906,1896,1522,1144,588,232,193,118,99
"16",1,26,15621,2651,1746,1437,1004,548,219,172,124,70
"17",1,27,14848,2404,1677,1269,936,454,240,146,101,86
"18",1,28,14127,2244,1425,1217,877,448,201,150,93,83
"19",1,29,12834,1971,1324,1138,757,436,192,127,99,66
"20",1,30,12262,1752,1226,993,784,391,170,118,79,55
"21",1,31,10084,1638,1090,847,665,351,147,105,75,50
"22",1,32,9511,1402,994,834,640,330,146,102,70,44
"23",1,33,8085,1224,814,686,507,330,125,87,63,40
"24",1,34,6844,1064,793,598,471,265,110,74,45,33
"25",1,35,6065,958,685,550,404,248,119,91,49,34
"26",1,36,5191,902,592,468,340,173,86,69,42,31
"27",1,37,4389,710,561,474,366,185,95,60,32,23
"28",1,38,3580,638,484,365,308,178,66,48,41,25
"29",1,39,2949,562,362,338,262,142,83,48,31,25
"30",1,40,2216,390,323,243,190,117,76,24,16,8
"31",1,41,1614,362,216,205,152,92,38,31,23,18
"32",1,42,1333,274,201,173,147,86,33,34,15,8
"33",1,43,849,199,127,119,106,64,25,17,13,7
"34",1,44,542,113,84,83,62,33,10,8,9,8
"35",1,45,351,75,73,48,36,37,23,9,6,4
"36",1,46,174,53,48,45,25,21,12,2,6,3
"37",1,47,127,45,37,28,41,19,7,5,6,1
"38",1,48,82,26,25,23,NA,14,4,4,4,5
"39",1,49,46,NA,NA,NA,10,8,3,NA,NA,1
"40",1,50,167,69,65,81,59,25,NA,2,NA,NA
"41",1,99,1071,509,477,552,583,570,368,323,265,268
"42",2,11,3,NA,NA,NA,NA,5,NA,NA,9,NA
"43",2,12,20,5,6,10,12,12,13,12,12,8
"44",2,13,125,45,58,38,47,36,14,19,16,12
"45",2,14,665,216,177,203,158,89,43,26,18,12
"46",2,15,2564,654,605,531,382,205,91,55,44,25
"47",2,16,5956,1571,1340,1075,708,344,136,93,83,49
"48",2,17,10438,2602,1846,1435,948,461,207,145,98,85
"49",2,18,14999,3165,2246,1716,1150,537,232,178,108,91
"50",2,19,16922,3380,2386,1930,1296,633,273,174,145,89
"51",2,20,18051,3633,2643,1910,1349,678,292,213,148,120
"52",2,21,17470,3563,2454,1971,1309,676,304,198,148,89
"53",2,22,18181,3551,2478,1910,1319,681,275,195,129,105
"54",2,23,17858,3259,2256,1852,1220,659,281,197,142,96
"55",2,24,16872,2918,2143,1589,1156,603,234,202,136,91
"56",2,25,15993,2799,1959,1519,1149,566,261,175,124,79
"57",2,26,15370,2569,1858,1401,977,487,226,157,111,69
"58",2,27,14609,2349,1570,1272,926,521,221,150,110,78
"59",2,28,13646,2193,1541,1224,876,469,188,137,110,70
"60",2,29,12619,1904,1367,1121,827,427,176,126,86,51
"61",2,30,11939,1759,1307,977,717,399,175,143,73,68
"62",2,31,9983,1568,1100,882,645,341,150,105,84,45
"63",2,32,9282,1421,1016,802,640,329,131,111,67,50
"64",2,33,7932,1214,833,762,514,295,112,93,59,47
"65",2,34,7076,1045,771,628,490,283,123,93,56,40
"66",2,35,5931,931,662,604,421,245,93,87,62,36
"67",2,36,5177,827,657,544,349,224,94,72,51,25
"68",2,37,4396,746,541,469,326,159,93,61,37,26
"69",2,38,3797,665,436,389,330,170,81,63,42,20
"70",2,39,2903,554,383,330,241,143,61,38,29,24
"71",2,40,2192,399,342,283,202,128,47,39,31,10
"72",2,41,1582,320,237,218,181,72,33,36,15,10
"73",2,42,1284,262,204,211,176,81,37,27,17,10
"74",2,43,843,205,123,101,96,57,27,14,15,5
"75",2,44,517,123,101,77,68,33,18,14,7,9
"76",2,45,308,93,66,55,59,29,16,7,7,4
"77",2,46,190,61,67,44,34,20,6,7,5,2
"78",2,47,136,37,45,30,24,10,17,7,3,2
"79",2,48,80,21,26,16,18,16,8,7,2,4
"80",2,49,38,20,16,NA,14,4,NA,6,2,NA
"81",2,50,199,73,57,87,79,40,1,3,2,NA
"82",2,99,945,459,485,526,580,556,361,300,288,273
"83",9,99,NA,NA,NA,NA,9,4,5,NA,NA,NA
