"","SEXO","EDAD_MADN","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1",1,13,138,37,36,26,23,20,1,5,6
"2",1,14,942,171,128,80,57,40,7,12,14
"3",1,15,3363,508,385,272,129,83,22,27,31
"4",1,16,7141,1203,782,438,241,138,36,36,47
"5",1,17,11975,1846,1010,551,352,149,39,59,61
"6",1,18,16123,1945,1072,655,382,210,45,48,53
"7",1,19,17124,1966,1138,679,368,216,51,74,63
"8",1,20,17335,1977,1134,749,416,250,62,66,79
"9",1,21,17491,1995,1136,757,418,231,62,65,70
"10",1,22,16615,2049,1094,691,454,244,48,57,74
"11",1,23,15950,1798,1026,694,399,232,51,67,66
"12",1,24,14982,1731,970,596,403,227,51,65,69
"13",1,25,13979,1491,873,596,357,208,39,56,75
"14",1,26,12791,1405,833,555,303,173,43,59,73
"15",1,27,12423,1309,708,518,303,184,45,60,73
"16",1,28,10992,1198,662,455,312,189,35,72,80
"17",1,29,10479,1064,587,406,271,145,31,57,78
"18",1,30,9455,937,549,385,214,142,43,40,67
"19",1,31,8569,887,509,339,203,132,39,44,55
"20",1,32,7583,733,457,316,183,125,34,56,63
"21",1,33,6973,671,360,287,191,128,29,43,43
"22",1,34,5856,638,331,246,168,103,24,43,39
"23",1,35,5127,549,326,222,142,94,27,32,57
"24",1,36,4595,466,308,187,125,64,25,35,29
"25",1,37,3856,432,261,164,123,70,19,33,27
"26",1,38,3094,331,212,157,101,56,21,27,17
"27",1,39,2496,287,171,128,76,62,9,20,28
"28",1,40,1915,216,121,88,63,46,13,20,24
"29",1,41,1374,188,88,78,56,31,14,15,23
"30",1,42,997,134,75,65,38,31,13,23,6
"31",1,43,638,83,56,41,32,20,9,8,10
"32",1,45,182,32,29,16,9,15,7,1,7
"33",1,99,791,357,305,341,268,218,134,208,235
"34",2,13,142,48,35,19,27,14,2,5,2
"35",2,14,890,199,105,101,59,44,8,9,13
"36",2,15,2977,549,374,289,137,71,16,31,24
"37",2,16,6786,1143,792,463,229,140,33,39,34
"38",2,17,11256,1879,950,600,311,157,36,52,67
"39",2,18,15552,1975,1082,585,368,204,43,51,58
"40",2,19,16077,1986,1110,671,394,208,53,63,70
"41",2,20,16972,2119,1097,719,424,266,54,66,60
"42",2,21,17084,1925,1150,742,395,230,63,69,60
"43",2,22,16203,2001,1133,645,405,221,45,67,60
"44",2,23,15679,1869,1046,662,411,201,45,86,68
"45",2,24,14490,1587,947,633,388,238,42,79,69
"46",2,25,13469,1465,892,561,369,175,42,71,66
"47",2,26,12398,1357,812,571,303,180,47,64,79
"48",2,27,11878,1314,759,517,302,161,39,62,65
"49",2,28,10886,1111,630,459,285,164,30,56,56
"50",2,29,10046,1028,625,386,267,157,50,46,46
"51",2,30,9156,972,575,403,262,132,37,46,54
"52",2,31,8423,849,528,354,228,160,37,48,61
"53",2,32,7511,766,446,311,205,104,37,45,44
"54",2,33,6682,705,393,282,188,129,35,39,51
"55",2,34,5929,602,366,249,156,107,25,36,44
"56",2,35,5192,569,373,210,137,105,25,32,36
"57",2,36,4424,486,300,187,122,95,20,49,29
"58",2,37,3762,416,237,174,93,65,23,36,28
"59",2,38,3064,342,205,144,92,77,17,19,16
"60",2,39,2443,270,167,124,80,55,15,28,30
"61",2,40,1802,203,140,89,71,38,12,11,22
"62",2,41,1285,178,101,70,42,34,14,13,9
"63",2,42,897,114,87,55,35,36,7,5,12
"64",2,43,619,89,57,38,26,21,3,6,6
"65",2,45,208,28,24,25,11,10,4,5,1
"66",2,46,115,23,11,14,11,8,6,5,5
"67",2,99,699,324,255,338,239,201,129,194,222
