,,
AÑO NACIMIENTO,REGISTROS,POBLACIÓN MENOR DE 1 AÑO
1985,2422740,2345299
1986,2497001,2362486
1987,2477727,2374441
1988,2511279,2387749
1989,2549405,2404809
1990,2601798,2424268
1991,2601970,2450587
1992,2643323,2474571
1993,2616652,2480213
1994,2615013,2472865
1995,2576048,2456335
1996,2472943,2433636
1997,2440728,2409482
1998,2470645,2394829
1999,2475993,2395845
2000,2549147,2405063
2001,2464719,2400993
2002,2444424,2381026
2003,2395053,2351500
2004,2378324,2326759
2005,2351596,2311917
2006,2345488,2307722
2007,2363888,2313493
2008,2390882,2326416
2009,2381144,2336312
2010,2362388,2337030
2011,2372447,2323222
2012,2369070,2298894
