"","SEXO","EDAD_MADN","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1",1,11,11,14,20,12,39,8,12,12,10,16,17,14,16,13,13,18,13,17,10,8,12,7,5,4,8,6,5,1,4,6,2,5,4,2,5,1,2,7
"2",1,12,29,35,40,45,41,39,42,21,34,35,29,32,27,35,37,33,31,28,29,33,35,83,66,47,50,49,47,49,36,47,31,21,34,41,43,27,25,45
"3",1,13,90,117,114,144,165,187,181,187,177,202,183,168,197,205,219,252,231,224,187,203,232,247,282,273,356,321,350,371,384,379,344,347,335,312,310,195,243,264
"4",1,14,925,978,1060,1126,1083,1132,1264,1339,1435,1524,1438,1330,1447,1527,1568,1703,1533,1513,1373,1496,1577,1577,1835,2122,2348,2438,2258,2364,2405,2448,2274,2125,2189,1933,1802,1122,1301,1460
"5",1,15,4076,4351,4651,4920,4722,4946,5097,5285,5564,5734,5463,5156,5172,5861,5932,6011,5758,5613,5051,5140,5762,5650,6656,7143,8009,8142,7974,8018,8439,8316,8036,7490,7429,6878,5894,3923,4198,4325
"6",1,16,11390,12124,12411,13127,13024,13562,13609,13785,14215,14538,13649,13284,12927,14019,14655,14825,13875,14008,13220,13503,13723,13658,15987,17897,18806,18772,19195,19341,18889,19342,18282,17617,17076,15613,13732,9159,9191,9004
"7",1,17,21939,22589,23552,24270,24371,25439,25115,25398,25506,25965,24103,22500,22957,24123,25179,25537,23946,23363,22505,22812,22928,22632,25982,28107,29953,29533,29598,30473,29490,28593,27048,25497,25525,23470,20294,14444,13593,12889
"8",1,18,36890,38047,38084,39780,39471,40876,40938,40815,39295,39349,36501,34564,33900,35025,35270,36273,34664,33781,32165,32734,33229,31862,35245,38730,39943,40626,43897,41987,42089,41273,37262,36339,35972,34387,31134,20684,20953,21094
"9",1,19,43721,44257,44038,45755,46112,46237,47005,47441,47117,46287,43262,41290,40565,41611,42478,42650,41388,41015,39273,39228,39413,39211,42684,45033,47574,48074,48463,50634,50074,49291,45853,42508,42166,39996,38368,28783,27387,26488
"10",1,20,52823,53989,53003,54186,53879,55032,53878,54129,54647,53597,50263,47282,46999,47225,46721,47955,45134,45300,43962,43690,43151,43060,45993,48279,49134,50665,52213,53038,52742,51822,50795,46824,44711,41781,40082,32279,30978,29947
"11",1,21,47830,49799,49978,49618,50634,51451,51928,51488,52434,53364,50701,48712,47728,48596,48398,48042,47049,46009,44201,44981,44152,44097,47375,48690,49159,49846,51180,52507,53114,52202,50908,48562,46000,42268,40341,31839,32364,31914
"12",1,22,54860,56136,56211,56829,55845,56536,55528,57539,55623,56205,54272,51600,50571,49636,50731,50402,46441,47207,44721,45407,45501,44203,46485,48065,49127,48749,49703,51346,51227,51239,50417,48329,46494,42822,40080,31521,31837,32993
"13",1,23,56100,57977,58262,58350,58221,57437,57152,56102,57148,56156,55142,53068,51935,51906,51342,51547,48296,46866,46216,45023,44683,45058,46790,47735,48341,48709,48311,48994,49653,49417,49035,47699,46747,44383,40546,31558,31680,31832
"14",1,24,53211,53614,54429,56601,55884,55541,53491,55017,53300,54500,51724,51170,51310,51428,51202,50392,47993,46412,44014,44931,43613,43424,46227,46725,46902,47507,47766,47466,46794,48391,47456,47087,45841,44120,41878,32684,31084,31754
"15",1,25,53945,50656,50576,52317,52530,53414,51353,50984,50439,50564,50138,47556,48668,50365,50014,49827,47026,45778,44009,42949,43547,42087,44913,46142,45845,45952,46202,46159,45300,45435,46038,44976,45063,43220,41784,33117,31973,31840
"16",1,26,44808,50030,46690,46835,47345,47949,47445,47776,46608,46920,46089,46022,45265,46800,47850,48486,45964,44403,42775,42556,41068,42088,42952,44333,44072,44349,44771,44368,44010,43057,43343,43418,42968,42200,40942,33276,32393,32345
"17",1,27,40810,42024,46013,43962,43260,44090,43808,45119,44727,44228,43154,41792,43257,43533,44251,46083,44099,42978,41332,41537,40283,39657,42108,41822,42285,42850,42342,41874,41737,41869,41464,40535,41399,40046,39791,32265,31989,32616
