"","SEXO","EDAD_MADN","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1",1,10,210,227,267,282,250,234,224,858,847,869,837,651,668,614,666,221,262,155,132,131,128,119,157,156,99,111,155,106,89,93,104,87,169,101,82,34,69,71
"2",1,11,303,252,377,296,351,277,336,242,267,290,256,218,196,178,196,317,291,207,155,151,143,144,162,146,119,145,180,151,101,103,140,126,170,119,106,64,81,104
"3",1,12,445,452,607,552,467,500,545,380,446,464,374,299,313,307,305,428,443,289,270,243,249,298,330,263,267,236,300,266,222,216,205,157,237,201,211,90,136,178
"4",1,13,812,973,1443,1242,1313,1360,1405,920,1011,1064,965,827,773,814,855,1048,1053,883,775,813,791,819,939,850,900,920,963,864,865,855,801,763,803,696,663,390,513,604
"5",1,14,2535,3237,4555,4144,3924,4303,4772,3256,3483,3708,3418,3202,3426,3484,3621,3963,3800,3645,3322,3603,3645,3563,3947,4218,4292,4594,4304,4217,4239,4318,3959,3747,3644,3407,3269,1965,2501,2798
"6",1,15,8155,9740,12830,11956,12042,12638,13634,10304,10843,11445,10843,10662,10630,11207,11802,12034,11991,11508,10857,11011,11538,11454,12752,13044,13654,14200,13600,13406,14018,13996,12960,12346,11898,11270,10234,6637,8074,8325
"7",1,16,20507,22615,27488,25985,26400,27777,29046,24366,25611,26522,25044,25021,24588,25267,27025,27263,26647,26672,25511,25971,26344,25677,28973,30309,30719,31494,31061,30988,30584,30729,28271,27608,26775,25045,23112,14948,17668,17463
"8",1,17,37721,40135,47868,45050,45589,47808,49397,43856,44445,46201,43126,42219,42412,42665,44924,45549,44569,43746,41997,42903,43196,41870,46230,47892,48764,49345,48436,48533,47873,46717,42543,40852,40437,38255,34528,23612,27580,26078
"9",1,18,60122,60529,66832,63425,64049,66432,68230,66942,66246,67068,62646,61211,60192,60353,61680,62765,61762,60604,57919,59088,59933,56992,61886,63805,64118,65800,68500,64949,65513,64099,56533,55583,54253,52443,49281,32173,39140,37759
"10",1,19,70920,70791,77034,73339,73708,76142,78439,77324,77667,77872,72805,71860,70879,70504,72483,72603,71685,70779,68061,68940,68760,66963,72138,72285,73158,75108,73607,75038,74429,73386,66910,62511,60638,58285,56217,41030,46105,43431
"11",1,20,83453,81451,85473,80961,80651,83121,84401,86673,88324,88340,82980,80308,79545,78699,79038,79732,77365,76420,74844,74965,73881,72375,76752,76759,76074,78821,78623,78196,78372,76477,72628,68201,64221,60851,58758,45171,51235,47695
"12",1,21,76961,77749,85156,78174,79391,81898,83658,83656,85142,88157,83430,82172,80421,79980,81360,79972,79081,77950,74649,76347,74940,73317,78032,77180,75922,77648,76539,77431,78091,77022,72963,70163,66408,61696,58914,44386,52713,50341
"13",1,22,85698,84867,91139,86202,85142,87299,87458,91473,90390,91319,87759,85527,84010,81669,83732,82571,77791,78346,75368,76256,76101,73037,76573,76169,75527,76139,74607,74886,75501,74904,72207,69483,66429,62322,58784,43844,51640,50954
"14",1,23,86399,85665,92129,86195,86012,86846,87378,88596,90762,90884,87744,86849,85032,82998,83628,82357,79024,76935,75851,75010,73637,73292,75704,75064,73497,75075,72195,71441,72725,71962,69823,68344,66249,63587,58980,43955,50977,49098
"15",1,24,83183,80047,85112,82463,81735,83093,82520,85591,84333,87223,82733,82426,82596,81510,82050,79947,77473,75541,71993,72925,71420,69641,73896,72318,70997,72342,70664,68734,68002,69399,66981,66400,64323,62668,60078,45128,49976,48552
"16",1,25,81731,75528,80047,75402,76104,78254,77793,79329,79259,80174,78855,77197,77652,78524,79013,77960,74988,72799,70963,69124,69403,67270,70898,70770,68533,70002,67904,66269,65199,65227,64192,63206,62324,61027,58961,45095,50577,48210
"17",1,26,69375,72368,73800,69349,68654,71180,72138,74651,73705,74475,72210,72977,72435,72483,75000,74694,72294,70234,67902,67480,65104,65384,67333,66947,65413,66976,64808,63163,62731,61119,60022,60075,59085,58743,57340,44693,50725,48566
"18",1,27,63786,62539,70675,65285,64512,65661,66666,69939,70079,70007,67534,66839,68763,68013,69146,70521,68580,67175,65002,64627,63241,61356,64678,62939,62048,63899,60734,59155,59028,59244,56907,55663,56018,55349,54846,43194,49399,48097
"19",1,28,61146,58146,61716,61517,60062,60589,60525,64813,65297,65365,62922,63107,62493,63378,64392,65128,64932,63926,62449,60694,60028,58624,59849,60029,58074,60108,58221,56357,55906,55062,54589,53229,51939,52449,50835,41132,47213,45751
"20",1,29,52908,52657,56902,54272,56933,56614,56473,57760,57966,59188,57742,56966,57487,57101,58616,59559,58605,58887,58223,57138,55679,55093,57214,55580,54316,55643,54283,53350,51876,51903,50268,49756,48578,47911,47903,38323,44892,44047
"21",1,30,54875,50959,52501,48833,49007,52016,51296,54227,55192,55973,54807,54278,53094,53580,53808,54669,54113,53711,54327,53754,52958,51549,52895,52116,50265,52144,49871,49209,48393,48076,46907,46418,45884,44636,43703,36293,41277,41243
"22",1,31,35939,36756,40700,37963,37741,39672,42845,43190,42010,43522,43458,44462,44792,44213,45553,46277,45781,45875,46212,47174,47014,45778,48153,47023,45956,46310,44979,43625,43754,44298,42869,42026,41683,40881,39830,32313,38066,37839
"23",1,32,38578,37359,41081,37716,37680,38192,38459,44628,43542,42410,40987,41410,41788,41875,41676,42161,41478,41492,41745,41658,42774,42067,43827,42742,41856,42435,41898,39624,39143,39271,38720,37716,37432,36731,36562,29366,33952,35150
"24",1,33,32656,31976,34973,32662,32447,33506,33382,35323,38251,37614,35589,35850,36192,36018,37050,36665,35995,35682,35986,36210,37177,37634,39292,38557,37222,37632,36163,35454,34870,34687,33877,34250,33832,32408,32068,26461,30463,30197
